timestamp,station_id,station_name,latitude,longitude,temperature,humidity,pressure,wind_speed,wind_direction,hour,day,month,day_of_week,day_of_year,time_period,temperature_rolling_mean_24h,temperature_rolling_std_24h,temperature_deviation_24h,temperature_zscore_24h,pressure_rolling_mean_24h,pressure_rolling_std_24h,pressure_deviation_24h,pressure_zscore_24h,humidity_rolling_mean_24h,humidity_rolling_std_24h,humidity_deviation_24h,humidity_zscore_24h,original_temperature,original_pressure,original_humidity,is_anomaly,fault_type,fault_severity,statistical_anomaly,temporal_anomaly,temporal_score,isolation_anomaly,ml_anomaly_score,satark_score,satark_prediction,severity,reason
2025-05-27 04:00:00,42131,Hissar,29.1667,75.7333,33.0,52.0,1001.2,11.5,118.0,4,27,5,1,147,Night,31.704166666666666,3.349948626039097,1.2958333333333345,0.386821852508675,1000.3708333333334,1.873030366413165,0.8291666666666515,0.4426872524520239,53.958333333333336,10.5561816493699,-1.958333333333336,-0.1855153121062698,33.0,1001.2,52.0,0,normal,none,0,0,0.07378120874200399,0,0.17389895732269248,0.1338518578904171,0,Normal,No significant anomaly detected
2025-05-27 05:00:00,42131,Hissar,29.1667,75.7333,34.6,46.0,1000.8,10.4,119.0,5,27,5,1,147,Morning,31.766666666666666,3.3599516904739315,2.833333333333336,0.843266092594827,1000.2583333333332,1.7272538310806895,0.5416666666666288,0.3135999219800396,53.833333333333336,10.56107153105494,-7.833333333333336,-0.7417176666495762,34.6,1000.8,46.0,0,normal,none,0,0,0.1405443487658045,0,0.2882860961854952,0.22918939721761894,0,Normal,No significant anomaly detected
2025-05-27 06:00:00,42131,Hissar,29.1667,75.7333,35.9,42.0,1000.6,8.3,96.0,6,27,5,1,147,Morning,31.85,3.406004927362435,4.050000000000001,1.1890763772723802,1000.1208333333334,1.5279936166861463,0.4791666666666287,0.3135920604863696,53.66666666666666,10.655338187221425,-11.666666666666664,-1.0949128466572833,35.9,1000.6,42.0,0,normal,none,0,0,0.19817939621206337,0,0.3584031574735634,0.2943136529689634,0,Normal,No significant anomaly detected
2025-05-27 07:00:00,42131,Hissar,29.1667,75.7333,36.8,39.0,999.9,7.2,76.0,7,27,5,1,147,Morning,31.92083333333333,3.47400022110415,4.879166666666663,1.4044808163874858,1000.0041666666666,1.364926870640905,-0.1041666666666287,-0.0763166649490291,53.5,10.810622795074874,-14.5,-1.341273326695474,36.8,999.9,39.0,0,normal,none,0,0,0.23408013606458097,0,0.42161987238796805,0.3466039778586132,0,Low,No significant anomaly detected
2025-05-27 08:00:00,42131,Hissar,29.1667,75.7333,37.6,35.0,998.7,7.6,68.0,8,27,5,1,147,Morning,31.9875,3.5540928641435805,5.612500000000001,1.5791652651013182,999.9,1.2659418215422815,-1.2000000000000457,-0.9479108593932856,53.375,10.965608292173878,-18.375,-1.675693633258283,37.6,998.7,35.0,0,normal,none,0,0,0.27928227220971386,0,0.530206627236414,0.42983688522573393,0,Low,No significant anomaly detected
2025-05-27 09:00:00,42131,Hissar,29.1667,75.7333,38.0,33.0,997.4,8.6,68.0,9,27,5,1,147,Morning,32.041666666666664,3.631734124853166,5.958333333333336,1.6406303789031462,999.8,1.2618137393926308,-2.400000000000091,-1.9020239874352,53.25,11.163800194495147,-20.25,-1.8138984617429148,38.0,997.4,33.0,0,normal,none,0,0,0.3170039979058667,1,0.6069963884045022,0.490999432205048,0,Low,No significant anomaly detected
2025-05-27 10:00:00,42131,Hissar,29.1667,75.7333,38.0,33.0,996.2,9.4,74.0,10,27,5,1,147,Morning,32.104166666666664,3.7235419284269415,5.895833333333336,1.5833938348652103,999.6875,1.3511066317319664,-3.4874999999999545,-2.5812174391664207,53.04166666666666,11.502283957192384,-20.041666666666664,-1.7424075723791013,38.0,996.2,33.0,0,normal,none,0,0,0.4302029065277368,1,0.6699589070367215,0.5740565068331276,1,Low,No significant anomaly detected
2025-05-27 11:00:00,42131,Hissar,29.1667,75.7333,38.0,34.0,995.8,10.4,62.0,11,27,5,1,147,Morning,32.166666666666664,3.8120708359067534,5.833333333333336,1.5302268988256604,999.5916666666668,1.511094238284202,-3.7916666666667433,-2.509219194014038,52.75,11.928227391178185,-18.75,-1.571901623359983,38.0,995.8,34.0,0,normal,none,0,0,0.41820319900233965,1,0.677487113366386,0.5737735476207675,1,Low,No significant anomaly detected
2025-05-27 12:00:00,42131,Hissar,29.1667,75.7333,37.2,35.0,995.6,10.4,47.0,12,27,5,1,147,Afternoon,32.23333333333333,3.902247587209693,4.966666666666676,1.2727707700930626,999.5083333333332,1.661826304563755,-3.908333333333303,-2.351830225938852,52.5,12.265185795930568,-17.5,-1.4268026829080955,37.2,995.6,35.0,0,normal,none,0,0,0.39197170432314205,1,0.6439861828141141,0.5431803914177253,1,Low,No significant anomaly detected
2025-05-27 13:00:00,42131,Hissar,29.1667,75.7333,35.4,42.0,995.8,10.1,53.0,13,27,5,1,147,Afternoon,32.2875,3.963892739741292,3.112499999999997,0.7852129722872214,999.4333333333334,1.7962924780055192,-3.63333333333344,-2.0226847118836937,52.25,12.567210613684209,-10.25,-0.8156145635722027,35.4,995.8,42.0,0,normal,none,0,0,0.3371141186472823,0,0.5072220776462281,0.4391788940466497,0,Low,No significant anomaly detected
